Weekly device usage,Age,Sex,Ethnicity simplified,IU_W2R,ICQ_01_t,ICQ_02_a,ICQ_03_se,ICQ_04_d,ICQ_05_so,ICQ_06_c,ICQ_07_t,ICQ_08_a,ICQ_09_se,ICQ_10_d,ICQ_11_so,ICQ_12_c,ICQ_13_t,ICQ_14_a,ICQ_15_se,ICQ_16_d,ICQ_17_so,ICQ_18_c,ICQ_19_t,ICQ_20_a,ICQ_21_se,ICQ_22_d,ICQ_23_so,ICQ_24_c,ICQ_25_t,ICQ_26_a,ICQ_27_se,ICQ_28_d,ICQ_29_so,ICQ_30_c,YDQ:1,YDQ:2,YDQ:3,YDQ:4,YDQ:5,YDQ:6,YDQ:7,YDQ:8
Every day,71,Female,White,2,5,4,6,6,5,6,5,4,3,6,6,6,6,5,3,3,5,5,7,4,6,3,5,6,1,4,6,3,5,7,2,2,2,2,1,2,2,1
Multiple times every day,36,Male,White,1,6,5,5,3,3,3,5,5,2,4,2,3,5,5,3,3,2,3,5,3,5,5,2,3,2,5,5,3,3,4,2,2,2,2,1,2,2,2
Multiple times every day,41,Female,Black,2,4,5,5,5,2,4,4,4,4,7,3,5,3,6,3,5,6,5,6,4,5,2,3,5,3,4,5,4,5,7,2,1,1,1,1,2,2,1
Every day,63,Female,White,2,5,3,3,4,2,3,4,2,2,3,3,3,4,3,2,4,2,4,4,3,6,3,3,3,4,3,4,3,3,4,2,2,2,2,2,2,2,2
Multiple times every day,30,Male,White,2,6,4,5,4,2,2,5,4,4,4,2,3,4,4,3,4,5,4,3,5,3,3,3,2,1,4,6,4,3,3,1,2,2,2,2,2,2,2
Every day,35,Male,White,2,5,2,4,3,1,1,5,3,1,2,1,1,3,3,1,2,1,1,3,1,2,2,1,1,1,1,3,1,1,1,2,2,2,2,2,2,2,2
Every day,48,Female,Black,1,6,3,6,6,2,3,6,2,4,2,2,3,3,3,6,3,2,5,7,2,4,5,2,3,1,2,6,4,3,4,1,1,1,1,1,2,2,2
Multiple times every day,51,Female,White,2,4,4,4,2,1,5,4,3,1,1,4,5,6,4,1,1,1,4,2,2,2,2,4,4,2,2,5,1,2,4,2,2,2,2,2,2,2,2
Multiple times every day,32,Female,Asian,1,4,4,5,6,3,6,4,3,2,6,4,4,6,4,3,5,3,5,6,3,6,4,4,5,3,4,5,4,4,5,1,1,2,2,1,2,2,1
Multiple times every day,46,Male,White,2,5,2,5,4,2,3,5,3,3,2,3,2,6,2,2,2,1,4,4,1,4,5,1,3,1,3,3,2,3,2,2,2,2,2,2,2,2,2
